Transaction_ID,Transaction_Narrative,Amount_Paid,Payment_Date,PO_Key
TXN7056,PAYMENT_CONFIRM_REF_35845_FOR_PO-1056_ID,12362.24,2025-10-29,PO-1056
TXN7057,PAYMENT_CONFIRM_REF_50358_FOR_PO-1057_ID,40619.91,2025-10-29,PO-1057
TXN7058,PAYMENT_CONFIRM_REF_53207_FOR_PO-1058_ID,6817.85,2025-10-29,PO-1058
TXN7059,PAYMENT_CONFIRM_REF_28836_FOR_PO-1059_ID,3952.44,2025-10-29,PO-1059
TXN7060,PAYMENT_CONFIRM_REF_20789_FOR_PO-1060_ID,43791.87,2025-10-29,PO-1060
TXN7061,PAYMENT_CONFIRM_REF_58489_FOR_PO-1061_ID,4284.84,2025-10-29,PO-1061
TXN7062,PAYMENT_CONFIRM_REF_97480_FOR_PO-1062_ID,27629.28,2025-10-29,PO-1062
TXN7063,PAYMENT_CONFIRM_REF_95157_FOR_PO-1063_ID,3975.9,2025-10-29,PO-1063
TXN7064,PAYMENT_CONFIRM_REF_93939_FOR_PO-1064_ID,21719.02,2025-10-29,PO-1064
TXN7065,PAYMENT_CONFIRM_REF_87539_FOR_PO-1065_ID,29992.42,2025-10-29,PO-1065
TXN7066,PAYMENT_CONFIRM_REF_17442_FOR_PO-1066_ID,42861.38,2025-10-29,PO-1066
TXN7067,PAYMENT_CONFIRM_REF_56875_FOR_PO-1067_ID,26375.96,2025-10-29,PO-1067
TXN7068,PAYMENT_CONFIRM_REF_95989_FOR_PO-1068_ID,43845.07,2025-10-29,PO-1068
TXN7069,PAYMENT_CONFIRM_REF_34472_FOR_PO-1069_ID,37146.37,2025-10-29,PO-1069
TXN7070,PAYMENT_CONFIRM_REF_34866_FOR_PO-1070_ID,43850.09,2025-10-29,PO-1070
TXN7071,PAYMENT_CONFIRM_REF_23789_FOR_PO-1071_ID,37963.78,2025-10-29,PO-1071
TXN7072,PAYMENT_CONFIRM_REF_80680_FOR_PO-1072_ID,25762.46,2025-10-29,PO-1072
TXN7073,PAYMENT_CONFIRM_REF_64310_FOR_PO-1073_ID,11342.16,2025-10-29,PO-1073
TXN7074,PAYMENT_CONFIRM_REF_49405_FOR_PO-1074_ID,7875.05,2025-10-29,PO-1074
TXN7075,PAYMENT_CONFIRM_REF_10783_FOR_PO-1075_ID,24058.32,2025-10-29,PO-1075
TXN7076,PAYMENT_CONFIRM_REF_91194_FOR_PO-1076_ID,34497.36,2025-10-29,PO-1076
TXN7077,PAYMENT_CONFIRM_REF_14323_FOR_PO-1077_ID,13959.48,2025-10-29,PO-1077
TXN7078,PAYMENT_CONFIRM_REF_57055_FOR_PO-1078_ID,344.38,2025-10-29,PO-1078
TXN7079,PAYMENT_CONFIRM_REF_60722_FOR_PO-1079_ID,24579.44,2025-10-29,PO-1079
TXN7080,PAYMENT_CONFIRM_REF_65747_FOR_PO-1080_ID,35624.3,2025-10-29,PO-1080
TXN7081,PAYMENT_CONFIRM_REF_62752_FOR_PO-1081_ID,21048.3,2025-10-29,PO-1081
TXN7082,PAYMENT_CONFIRM_REF_16612_FOR_PO-1082_ID,33006.3,2025-10-29,PO-1082
TXN7083,PAYMENT_CONFIRM_REF_46544_FOR_PO-1083_ID,22344.31,2025-10-29,PO-1083
TXN7084,PAYMENT_CONFIRM_REF_41329_FOR_PO-1084_ID,39405.43,2025-10-29,PO-1084
TXN7085,PAYMENT_CONFIRM_REF_52256_FOR_PO-1085_ID,12155.29,2025-10-29,PO-1085
TXN7086,PAYMENT_CONFIRM_REF_49761_FOR_PO-1086_ID,5072.34,2025-10-29,PO-1086
TXN7087,PAYMENT_CONFIRM_REF_31477_FOR_PO-1087_ID,4935.29,2025-10-29,PO-1087
TXN7088,PAYMENT_CONFIRM_REF_41106_FOR_PO-1088_ID,5130.18,2025-10-29,PO-1088
TXN7089,PAYMENT_CONFIRM_REF_36060_FOR_PO-1089_ID,30762.69,2025-10-29,PO-1089
TXN7090,PAYMENT_CONFIRM_REF_75413_FOR_PO-1090_ID,16568.02,2025-10-29,PO-1090
TXN7091,PAYMENT_CONFIRM_REF_22069_FOR_PO-1091_ID,38252.36,2025-10-29,PO-1091
TXN7092,PAYMENT_CONFIRM_REF_26162_FOR_PO-1092_ID,1522.76,2025-10-29,PO-1092
TXN7093,PAYMENT_CONFIRM_REF_32870_FOR_PO-1093_ID,2149.32,2025-10-29,PO-1093
TXN7094,PAYMENT_CONFIRM_REF_60899_FOR_PO-1094_ID,6510.44,2025-10-29,PO-1094
TXN7095,PAYMENT_CONFIRM_REF_89222_FOR_PO-1095_ID,42554.8,2025-10-29,PO-1095
TXN7096,PAYMENT_CONFIRM_REF_58353_FOR_PO-1096_ID,31518.38,2025-10-29,PO-1096
TXN7097,PAYMENT_CONFIRM_REF_40371_FOR_PO-1097_ID,37588.78,2025-10-29,PO-1097
TXN7098,PAYMENT_CONFIRM_REF_51270_FOR_PO-1098_ID,17222.47,2025-10-29,PO-1098
TXN7099,PAYMENT_CONFIRM_REF_29392_FOR_PO-1099_ID,33899.63,2025-10-29,PO-1099
TXN7100,PAYMENT_CONFIRM_REF_73728_FOR_PO-1100_ID,25597.46,2025-10-29,PO-1100
TXN7101,PAYMENT_CONFIRM_REF_20764_FOR_PO-1101_ID,39394.95,2025-10-29,PO-1101
TXN7102,PAYMENT_CONFIRM_REF_27201_FOR_PO-1102_ID,44653.62,2025-10-29,PO-1102
TXN7103,PAYMENT_CONFIRM_REF_24950_FOR_PO-1103_ID,32729.31,2025-10-29,PO-1103
TXN7104,PAYMENT_CONFIRM_REF_92728_FOR_PO-1104_ID,12516.55,2025-10-29,PO-1104
TXN7105,PAYMENT_CONFIRM_REF_94132_FOR_PO-1105_ID,6392.78,2025-10-29,PO-1105
TXN7106,PAYMENT_CONFIRM_REF_66666_FOR_PO-1106_ID,25710.63,2025-10-29,PO-1106
TXN7107,PAYMENT_CONFIRM_REF_15881_FOR_PO-1107_ID,24538.96,2025-10-29,PO-1107
TXN7108,PAYMENT_CONFIRM_REF_24163_FOR_PO-1108_ID,8168.88,2025-10-29,PO-1108
TXN7109,PAYMENT_CONFIRM_REF_17853_FOR_PO-1109_ID,33971.01,2025-10-29,PO-1109
TXN7110,PAYMENT_CONFIRM_REF_86707_FOR_PO-1110_ID,34477.34,2025-10-29,PO-1110
TXN7111,PAYMENT_CONFIRM_REF_55663_FOR_PO-1111_ID,13836.1,2025-10-29,PO-1111
TXN7112,PAYMENT_CONFIRM_REF_70633_FOR_PO-1112_ID,45246.9,2025-10-29,PO-1112
TXN7113,PAYMENT_CONFIRM_REF_52175_FOR_PO-1113_ID,24413.82,2025-10-29,PO-1113
TXN7114,PAYMENT_CONFIRM_REF_48680_FOR_PO-1114_ID,9958.82,2025-10-29,PO-1114
TXN7115,PAYMENT_CONFIRM_REF_25856_FOR_PO-1115_ID,10226.96,2025-10-29,PO-1115
TXN7116,PAYMENT_CONFIRM_REF_66143_FOR_PO-1116_ID,22682.85,2025-10-29,PO-1116
TXN7117,PAYMENT_CONFIRM_REF_10247_FOR_PO-1117_ID,10756.37,2025-10-29,PO-1117
TXN7118,PAYMENT_CONFIRM_REF_43947_FOR_PO-1118_ID,11451.66,2025-10-29,PO-1118
TXN7119,PAYMENT_CONFIRM_REF_59825_FOR_PO-1119_ID,25877.7,2025-10-29,PO-1119
TXN7120,PAYMENT_CONFIRM_REF_52072_FOR_PO-1120_ID,2515.99,2025-10-29,PO-1120
TXN7121,PAYMENT_CONFIRM_REF_89291_FOR_PO-1121_ID,5711.02,2025-10-29,PO-1121
TXN7122,PAYMENT_CONFIRM_REF_83314_FOR_PO-1122_ID,24231.11,2025-10-29,PO-1122
TXN7123,PAYMENT_CONFIRM_REF_38955_FOR_PO-1123_ID,10138.22,2025-10-29,PO-1123
TXN7124,PAYMENT_CONFIRM_REF_97441_FOR_PO-1124_ID,27282.51,2025-10-29,PO-1124
TXN7125,PAYMENT_CONFIRM_REF_27459_FOR_PO-1125_ID,42603.0,2025-10-29,PO-1125
TXN7126,PAYMENT_CONFIRM_REF_34658_FOR_PO-1126_ID,14863.05,2025-10-29,PO-1126
TXN7127,PAYMENT_CONFIRM_REF_53524_FOR_PO-1127_ID,10653.77,2025-10-29,PO-1127
TXN7128,PAYMENT_CONFIRM_REF_19895_FOR_PO-1128_ID,10074.52,2025-10-29,PO-1128
TXN7129,PAYMENT_CONFIRM_REF_36419_FOR_PO-1129_ID,23203.2,2025-10-29,PO-1129
TXN7130,PAYMENT_CONFIRM_REF_96350_FOR_PO-1130_ID,15497.22,2025-10-29,PO-1130
TXN7131,PAYMENT_CONFIRM_REF_48900_FOR_PO-1131_ID,8282.68,2025-10-29,PO-1131
TXN7132,PAYMENT_CONFIRM_REF_78168_FOR_PO-1132_ID,29592.91,2025-10-29,PO-1132
TXN7133,PAYMENT_CONFIRM_REF_82705_FOR_PO-1133_ID,36338.45,2025-10-29,PO-1133
TXN7134,PAYMENT_CONFIRM_REF_87110_FOR_PO-1134_ID,7170.72,2025-10-29,PO-1134
TXN7135,PAYMENT_CONFIRM_REF_39089_FOR_PO-1135_ID,26941.04,2025-10-29,PO-1135
TXN7136,PAYMENT_CONFIRM_REF_83652_FOR_PO-1136_ID,1930.49,2025-10-29,PO-1136
TXN7137,PAYMENT_CONFIRM_REF_47241_FOR_PO-1137_ID,14745.19,2025-10-29,PO-1137
TXN7138,PAYMENT_CONFIRM_REF_17258_FOR_PO-1138_ID,21952.31,2025-10-29,PO-1138
TXN7139,PAYMENT_CONFIRM_REF_56922_FOR_PO-1139_ID,36479.6,2025-10-29,PO-1139
TXN7140,PAYMENT_CONFIRM_REF_25555_FOR_PO-1140_ID,19734.04,2025-10-29,PO-1140
TXN7141,PAYMENT_CONFIRM_REF_64109_FOR_PO-1141_ID,11670.28,2025-10-29,PO-1141
TXN7142,PAYMENT_CONFIRM_REF_86061_FOR_PO-1142_ID,31563.85,2025-10-29,PO-1142
TXN7143,PAYMENT_CONFIRM_REF_97184_FOR_PO-1143_ID,12193.88,2025-10-29,PO-1143
TXN7144,PAYMENT_CONFIRM_REF_36300_FOR_PO-1144_ID,21238.74,2025-10-29,PO-1144
TXN7145,PAYMENT_CONFIRM_REF_26750_FOR_PO-1145_ID,722.35,2025-10-29,PO-1145
TXN7146,PAYMENT_CONFIRM_REF_18676_FOR_PO-1146_ID,33721.52,2025-10-29,PO-1146
TXN7147,PAYMENT_CONFIRM_REF_95332_FOR_PO-1147_ID,23799.16,2025-10-29,PO-1147
TXN7148,PAYMENT_CONFIRM_REF_22691_FOR_PO-1148_ID,1674.31,2025-10-29,PO-1148
TXN7149,PAYMENT_CONFIRM_REF_22740_FOR_PO-1149_ID,24698.3,2025-10-29,PO-1149
TXN7150,PAYMENT_CONFIRM_REF_18499_FOR_PO-1150_ID,30017.66,2025-10-29,PO-1150
TXN7151,PAYMENT_CONFIRM_REF_51522_FOR_PO-1151_ID,19430.32,2025-10-29,PO-1151
TXN7152,PAYMENT_CONFIRM_REF_64031_FOR_PO-1152_ID,16829.64,2025-10-29,PO-1152
TXN7153,PAYMENT_CONFIRM_REF_47116_FOR_PO-1153_ID,22491.44,2025-10-29,PO-1153
TXN7154,PAYMENT_CONFIRM_REF_80505_FOR_PO-1154_ID,15600.8,2025-10-29,PO-1154
TXN7155,PAYMENT_CONFIRM_REF_76499_FOR_PO-1155_ID,7132.14,2025-10-29,PO-1155
TXN7156,PAYMENT_CONFIRM_REF_70156_FOR_PO-1156_ID,920.72,2025-10-29,PO-1156
TXN7157,PAYMENT_CONFIRM_REF_49087_FOR_PO-1157_ID,43591.64,2025-10-29,PO-1157
TXN7158,PAYMENT_CONFIRM_REF_37925_FOR_PO-1158_ID,6779.23,2025-10-29,PO-1158
TXN7159,PAYMENT_CONFIRM_REF_44926_FOR_PO-1159_ID,5959.29,2025-10-29,PO-1159
TXN7160,PAYMENT_CONFIRM_REF_88575_FOR_PO-1160_ID,18557.2,2025-10-29,PO-1160
TXN7161,PAYMENT_CONFIRM_REF_38677_FOR_PO-1161_ID,1898.88,2025-10-29,PO-1161
TXN7162,PAYMENT_CONFIRM_REF_17665_FOR_PO-1162_ID,7909.96,2025-10-29,PO-1162
TXN7163,PAYMENT_CONFIRM_REF_90928_FOR_PO-1163_ID,14954.97,2025-10-29,PO-1163
TXN7164,PAYMENT_CONFIRM_REF_44042_FOR_PO-1164_ID,20211.63,2025-10-29,PO-1164
TXN7165,PAYMENT_CONFIRM_REF_49613_FOR_PO-1165_ID,8644.51,2025-10-29,PO-1165
TXN7166,PAYMENT_CONFIRM_REF_49010_FOR_PO-1166_ID,23025.56,2025-10-29,PO-1166
TXN7167,PAYMENT_CONFIRM_REF_63111_FOR_PO-1167_ID,15207.18,2025-10-29,PO-1167
TXN7168,PAYMENT_CONFIRM_REF_40185_FOR_PO-1168_ID,20576.93,2025-10-29,PO-1168
TXN7169,PAYMENT_CONFIRM_REF_59188_FOR_PO-1169_ID,8306.43,2025-10-29,PO-1169
